sku,Product Code,Product Name,Cost Price,Retail Price
100SN8.150.6RJ,100SN8.150.6RJ,150mmx6m PVC DWV SN8 Pipe RRJ,161.36,230.52
100SN8.225.6RJ,100SN8.225.6RJ,225mmx6m PVC DWV SN8 Pipe RRJ,654.33,934.76
100X75DP,100X75DP,100x75mm Galv Rect Downpipe 2.4m,69.36,81.6
10110011,10110011,100mmx11 PVC Plain FF Bend SCJ,6.27,28.47
10110015,10110015,100mmx15 PVC Plain FF Bend SCJ,3.31,23.15
10110015UPEC,10110015UPEC,Box of 45 x 10110015 UPEC Bends,148.95,1041.75
10110022,10110022,100mmx22 PVC Plain FF Bend SCJ,6.28,28.47
10110030,10110030,100mmx30 PVC Plain FF Bend SCJ,3.13,21.38
10110030UPEC,10110030UPEC,Box of 45 x 10110030 UPEC Bends,140.85,962.1
10110045,10110045,100mmx45 PVC Plain FF Bend SCJ,2.54,22.32
10110045UPEC,10110045UPEC,Box of 48 x 10110045 UPEC Bends,121.92,1071.36
10110045W,10110045W,100mmx45 PVC Inspection Bend SCJ,33.11,87.13
1011005,1011005,100mmx5 PVC Plain FF Bend SCJ,3.72,23.15
1011005UPEC,1011005UPEC,Box of 45 x 1011005 UPEC Bends,167.4,1041.75
10110060,10110060,100mmx60 PVC Plain FF Bend SCJ,3.95,25.16
10110088,10110088,100mmx88 PVC Plain FF Bend SCJ,2.99,22.61
10110088UPEC,10110088UPEC,Box of 27 x 10110088 UPEC Bends,80.73,610.47
10110088W,10110088W,100mmx88 PVC Inspection Bend SCJ,31.06,77.64
10115015,10115015,150mmx15 PVC Plain Bend SCJ,57.34,106.18
10115045,10115045,150mmx45 PVC Plain Bend SCJ,24.87,85.76
10115088,10115088,150mmx88 PVC Plain Bend SCJ (Long Radius),40.42,122.48
101150A,101150A,150mm PVC Adjustable Bend SCJ,53.84,99.7
101306,101306,6mm 18Bar Premoflex Red Hose Metre,9,12.85
101308,101308,8mm 18Bar Premoflex Red Hose Metre,9.95,14.21
101310,101310,10mm Premoflex Red Hose 14Bar Metre,11.72,16.74
101313,101313,13mm Premoflex Red Hose 14Bar Metre,13.99,19.98
101316,101316,16mm Premoflex Red Hose 14Bar Metre,17.32,24.74
101319,101319,19mm Premoflex Red Hose 14Bar Metre,21.6,30.85
1013215,1013215,32mmx15 PVC Waste Bend,4.24,10.61
1013245,1013245,32mmx45 PVC Waste Bend,3.03,8.67
101325,101325,25mm Premoflex Red Hose 14Bar Metre,33.4,47.72
1013288,1013288,32mmx88 PVC Waste Bend,3.24,9.25
1013288W,1013288W,WSL 32mmx88 PVC Inspection Bend,6.52,16.29
101332,101332,32mm Premoflex Red Hose 14Bar Metre,54.36,77.65
1014015,1014015,40mmx15 PVC Waste Bend,4.15,11.85
1014045,1014045,40mmx45 PVC Waste Bend,1.06,7.11
